"Lugar","Latitud","Longitud"
1000001000,19.4411695,-99.1892181
1000002000,20.6630692,-103.3766809
1000003000,18.0753235,-96.1351770999999
1000004000,23.2037866,-106.4135961
1000005000,25.5450786,-103.4087835
1000008000,22.9696639,-102.7073834
1000009000,20.9786891,-89.8393265999999
2040104003,18.656679,-91.81691
2070603006,24.089845,-104.579884
2090102000,19.510226,-99.178922
2090102001,19.365254,-99.16392
2090102002,19.433965,-99.106689
2090102004,19.41852,-99.153319
2090102005,19.399746,-99.326264
2090102007,19.268065,-99.123893
2110102002,20.0300006866455,-100.730003356933
2110102005,20.608348,-101.249509
2110102019,20.669858,-100.43277
2110102020,20.3847,-100.00617
2120101000,16.865721,-99.876051
2120101001,16.905116,-99.962227
2120101002,17.204589,-100.437149
2120101004,16.831977,-99.812973
2120101005,16.687644,-98.412203
2120101007,17.166133,-99.528822
2120101008,16.474099,-98.424688
2120101010,16.582249,-98.815413
2120602000,17.488274,-99.460003
2120602002,17.649592,-101.541655
2120602005,18.357229,-99.534043
2130403000,20.059127,-98.78441
2130403004,20.379562,-99.659193
2130403005,20.472059,-99.208034
2130403007,20.530592,-98.635903
2130403008,20.735462,-99.38581
2130403009,20.060347,-98.445517
2130403010,20.057406,-99.295954
2130403011,21.141377,-98.411907
2140203000,20.664207,-103.376236
2150802000,19.526286,-99.055731
2150802005,19.477508,-98.889703
2150802007,19.795544,-99.093172
2150802009,19.688878,-98.865022
2151102000,19.246974,-99.610439
2151102005,18.9862,-99.4214
2151102007,19.436059,-99.994801
2151102008,19.206985,-100.13517
2151102011,18.927196,-99.940756
2151102013,18.963775,-99.59894
2160502014,17.95397,-102.20002
2160502000,19.704577,-101.226017
1000002000,20.6630692,-103.3766809
2170102000,18.817389,-99.219333
2170102004,18.643755,-99.213402
2190502000,25.767207,-100.191332
2200201000,16.468283,-95.03228
2200201003,16.8759,-95.0384
2200201004,16.223727,-95.20911
2200302000,17.145193,-96.7789
2200302003,16.336719,-96.59648
2200302006,16.352083,-98.05741
2200302007,15.728919,-96.47058
2200302009,16.94868,-96.70684
2210503002,18.996778,-97.450576
2210503018,19.3253,-98.247968
2210503020,19.592382,-98.571718
2210503021,18.896217,-97.713253
2240302001,22.21006,-100.99853
2240302011,21.979195,-99.00318
1000003000,18.0753235,-96.1351770999999
2270201000,17.986792,-92.98987
2270201016,17.537585,-91.99141
2280202018,20.448519,-97.311664
2280202023,20.079884,-97.046857
2280202033,20.183164,-98.069535
2301202007,18.09994,-96.13132
2301202012,17.992433,-94.57465
2310104000,20.979956,-89.56263
2310104007,21.151893,-86.87105
2310104008,20.629986,-87.08153
2310104011,16.762293,-93.142
1000004000,23.2037866,-106.4135961
1000005000,25.5450786,-103.4087835
2151102017,19.41128,-99.50872
2120101011,16.724763,-99.132361
2060102000,28.675988,-106.094268
2070603000,25.535103,-103.390403
2110102013,21.024511,-101.8425
1000001000,19.4411695,-99.1892181
2140203003,20.374182,-103.819719
2140203005,20.046457,-102.716552
2140203006,20.360084,-102.778095
2140203008,19.788368,-104.357741
2140203009,19.47719,-104.648251
2140203013,20.626462,-103.329246
2140203014,20.73055,-103.35131
2140203015,20.861047,-103.248334
2140203016,20.881055,-103.831121
2140203017,19.6994,-103.477
2140203019,20.689496,-105.233747
2140203023,19.096875,-104.321043
2140203026,20.296561,-103.239397
2160502017,18.778185,-103.152181
2160502016,19.1982,-102.85386
2160502002,19.694395,-100.578979
2160502003,18.579999923706,-100.879997253417
2160502007,19.7999992370605,-101.779998779296
2160502009,20.097851,-101.515692
2180402000,21.4531,-104.8965
2180402003,21.5405,-105.286
2250301000,24.77426,-107.45306
2250902000,23.265723,-106.416202
2250902009,23.14807,-109.709653
2280202000,22.335775,-97.88178
2320403010,23.169773,-102.857692
2160101000,19.071535,-102.342838
2200201009,17.442382,-95.4263
2270201006,17.999004,-93.39441
2270201009,18.3864,-93.21996
2270201012,17.571135,-92.95607
2270201014,18.5313,-92.6371
2280202020,20.907111,-97.681798
2280202027,20.962035,-97.432139
2280202030,21.335764,-97.693714
2301202010,18.035608,-95.53235
2310104016,15.671536,-92.13857
2310104020,15.325899,-92.65423
2310104024,15.688776,-93.20502
2310104025,16.73412,-92.6514
2310104027,16.100379,-93.76985
2310104033,20.216631,-87.44638
2020202004,32.49681,-116.922506
2180402006,22.4931,-105.3619
2250902006,25.825391,-108.97354
2260502000,29.047344,-110.963218
2260502009,27.044948,-109.460144
2060102004,31.621396,-106.443874
2060102005,26.968641,-105.663426
2060102006,27.653673,-105.147883
2060102007,27.123442,-104.898308
2070603002,24.860359,-103.698467
2070603014,25.491363,-100.967563
2070603015,24.816797,-100.071981
2070603016,25.472336,-102.173719
2070603019,27.886949,-101.14832
2110102008,20.944993,-101.280717
2190502009,25.757937,-100.399723
2280202002,22.713236,-98.986542
2280202005,22.212947,-98.363496
2280202012,26.056213,-98.366619
2280202016,27.425656,-99.531594
2070603021,28.681618,-100.545582
2020202000,32.496079,-116.923254
2020202001,32.458257,-114.697881
2020202003,31.82111,-116.599375
2060102002,28.400932,-106.904714
2070603008,23.796784,-105.341062
2070603010,23.746219,-103.976792
2110102017,20.987196,-100.4018
2110102018,21.158761,-100.9161
2190502007,25.195717,-99.834983
2240302002,23.670084,-100.631715
2240302003,22.422523,-100.290573
2240302004,21.811425,-100.729073
2240302007,22.607609,-101.716694
2240302008,21.628603,-101.470399
2240302012,21.922792,-99.986897
2240302013,21.993543,-99.647055
2240302017,21.604973,-98.677769
2240302018,21.34935,-98.832686
2240302020,22.916054,-100.46973
2320403002,23.283835,-102.339808
2320403005,22.580146,-102.244133
2320403009,22.111509,-103.261908
2320403014,24.283557,-103.404936
2320403018,22.628119,-103.893783
2280202034,23.7266829,-99.1614906
2110102009,20.636308,-101.68008
2160502013,19.061956,-102.327972
2060102003,30.431017,-107.913798
2260502001,31.292299,-110.916228
2090102006,19.6344064,-99.1167987
3330830000,25.769511,-100.190655
2160502011,19.435081,-100.323904
2170102001,18.50267,-98.757091
2190502003,25.59253,-100.001782
2140203002,20.663169,-103.3801706
2140203004,23.2037866,-106.4135961
2180402008,26.509232,-100.175128
