,Lugar,Latitud,Longitud,Lugar ID0,Lugar ID1,Lugar ID2,Lugar ID3
0,1000001000,19.4411695,-99.1892181,"Lago Alberto 156, Granada, 11520 Ciudad de México, CDMX, Mexico","Granada, Ciudad de México, CDMX, Mexico","Mexico City, CDMX, Mexico","Granada, 11520 Ciudad de México, CDMX, Mexico"
1,1000002000,20.6630692,-103.3766809,"Av Mariano Otero 1, Del Fresno, 44909 Guadalajara, Jal., Mexico","Del Fresno, Guadalajara, Jal., Mexico","Guadalajara, Jalisco, Mexico","Del Fresno, 44909 Guadalajara, Jal., Mexico"
2,1000003000,18.0753235,-96.13517709999991,"Tuxtepec - Oaxaca 710, Santa Cruz, 68330 San Juan Bautista Tuxtepec, Oax., Mexico","Santa Cruz, San Juan Bautista Tuxtepec, Oax., Mexico","San Juan Bautista Tuxtepec, Oaxaca, Mexico","Los Cobos, 68330 San Juan Bautista Tuxtepec, Oax., Mexico"
3,1000004000,23.2037866,-106.41359609999999,"Av Gabriel Leyva 1620, Centro, 82000 Mazatlán, Sin., Mexico","Centro, Mazatlán, Sin., Mexico","Mazatlan, Sinaloa, Mexico","Cerro del Vigía, 82000 Mazatlán, Sin., Mexico"
4,1000005000,25.545078600000004,-103.4087835,"Calle Prof. Julio Rodríguez Sánchez 404, Nuevo Torreón, 27060 Torreón, Coah., Mexico","Nuevo Torreón, Torreón, Coah., Mexico","Torreón, Coahuila, Mexico","Nuevo Torreón, 27060 Torreón, Coah., Mexico"
5,1000008000,22.9696639,-102.7073834,"Blvd. Antonio Fernández Rodriguez 115, Grupo Modelo, 98500 Víctor Rosales, Zac., Mexico","Calera, Zac., Mexico","Zacatecas, Mexico",Mexico
6,1000009000,20.9786891,-89.83932659999991,"Mérida - Tetiz, Yucatán, Mexico","Hunucmá, Yucatan, Mexico","Yucatan, Mexico",Mexico
7,2040104003,18.656679,-91.81691,"Av Periferica Nte LB, San Agustín de Palmar, 24110 Cd del Carmen, Camp., Mexico","San Agustín de Palmar, 24110 Cd del Carmen, Camp., Mexico","Ciudad del Carmen, Campeche, Mexico","Santa Rosalía, 24197 Cd del Carmen, Camp., Mexico"
8,2070603006,24.089845,-104.57988399999999,"Blvrd Francisco Villa SN-S MOTEL DEL NORTE, Cd Industrial, 34208 Durango, Dgo., Mexico","Col San Juan, Dgo., Mexico","Villa Blanca, 34208 Durango, Dgo., Mexico","Durango, Mexico"
9,2090102000,19.510226,-99.178922,"Av. de las Granjas 377, Patios de Ffccinfraestructura, Tlalnepantla, Méx., Mexico","San Pablo Xalpa, 54090 Méx., Mexico","Tlalnepantla de Baz, State of Mexico, Mexico","Rosario 1 Sector III C, 54090 Tlalnepantla, Méx., Mexico"
