,index,Ruta,Origen,Destino,Distancia KM
0,0,100047,1000001000,2040104003,939.0
1,1,100065,1000001000,2070603006,883.0
2,2,100078,1000001000,2090102000,10.5
3,72,100079,1000001000,2090102001,11.8
4,135,100080,1000001000,2090102002,18.6
5,265,100081,1000001000,2090102004,5.8
6,337,100082,1000001000,2090102005,20.7
7,441,100084,1000001000,2090102007,33.0
8,528,100091,1000001000,2110102002,238.0
9,550,100093,1000001000,2110102005,302.0
10,557,100104,1000001000,2110102019,217.0
11,586,100105,1000001000,2110102020,161.0
12,604,100108,1000001000,2120101000,389.0
13,655,100109,1000001000,2120101001,414.0
14,669,100110,1000001000,2120101002,470.0
15,690,100112,1000001000,2120101004,392.0
16,744,100113,1000001000,2120101005,568.0
17,757,100115,1000001000,2120101007,336.0
18,766,100116,1000001000,2120101008,580.0
19,773,100118,1000001000,2120101010,517.0
20,787,100120,1000001000,2120602000,294.0
21,832,100122,1000001000,2120602002,644.0
22,849,100125,1000001000,2120602005,202.0
23,900,100128,1000001000,2130403000,87.9
24,936,100132,1000001000,2130403004,156.0
25,969,100133,1000001000,2130403005,160.0
26,979,100134,1000001000,2130403007,174.0
27,993,100135,1000001000,2130403008,240.0
28,1000,100136,1000001000,2130403009,113.0
29,1016,100137,1000001000,2130403010,78.9
30,1039,100138,1000001000,2130403011,314.0
31,1079,100143,1000001000,2140203000,542.0
32,1098,100168,1000001000,2150802000,21.6
33,1176,100170,1000001000,2150802005,40.8
34,1237,100172,1000001000,2150802007,55.7
35,1302,100174,1000001000,2150802009,52.3
36,1322,100178,1000001000,2151102000,63.0
37,1381,100181,1000001000,2151102005,81.3
38,1402,100183,1000001000,2151102007,112.0
39,1427,100184,1000001000,2151102008,139.0
40,1474,100186,1000001000,2151102011,125.0
41,1487,100188,1000001000,2151102013,101.0
42,1545,100196,1000001000,2160502014,610.0
43,1546,100197,1000001000,2160502000,306.0
44,1561,100200,1000001000,1000002000,541.0
45,1564,100210,1000001000,2170102000,116.0
46,1644,100214,1000001000,2170102004,138.0
47,1679,100223,1000001000,2190502000,920.0
48,1681,100231,1000001000,2200201000,732.0
49,1685,100234,1000001000,2200201003,672.0
50,1686,100235,1000001000,2200201004,733.0
51,1690,100239,1000001000,2200302000,461.0
52,1707,100241,1000001000,2200302003,575.0
53,1710,100244,1000001000,2200302006,631.0
54,1724,100245,1000001000,2200302007,717.0
55,1733,100247,1000001000,2200302009,486.0
56,1756,100251,1000001000,2210503002,249.0
57,1764,100265,1000001000,2210503018,129.0
58,1792,100266,1000001000,2210503020,77.2
59,1799,100267,1000001000,2210503021,200.0
60,1842,100270,1000001000,2240302001,416.0
61,1851,100279,1000001000,2240302011,676.0
62,1852,100300,1000001000,1000003000,447.0
